@relation LinkDisambiguator

@attribute occurances numeric
@attribute maxDisambigConfidence numeric
@attribute avgDisambigConfidence numeric
@attribute relatednessToContext numeric
@attribute relatednessToOtherTopics numeric
@attribute maxLinkProbability numeric
@attribute avgLinkProbability numeric
@attribute generality numeric
@attribute firstOccurance numeric
@attribute lastOccurance numeric
@attribute spread numeric
@attribute isValidLink {TRUE,FALSE}

@data
0.693147,0.408971,0.408971,0,0,0.008191,0.008191,0.6875,0.882962,0.882962,0,FALSE
0.693147,0.952157,0.952157,0.526375,0.437395,0.091367,0.091367,0.6875,0.603145,0.603145,0,TRUE
0.693147,0.856059,0.856059,0.336592,0.337688,0.232084,0.232084,?,0.923984,0.923984,0,FALSE
0.693147,0.408971,0.408971,0.024089,0.057945,0.037338,0.037338,0.625,0.6,0.6,0,FALSE
0.693147,0.952157,0.952157,0.60724,0.484779,0.294118,0.294118,0.75,0.161206,0.161206,0,TRUE
1.386294,0.952157,0.952157,0.623798,0.520406,0.736,0.378667,?,0.033028,0.979948,0.94692,TRUE
0.693147,0.408971,0.408971,0.047727,0.074921,0.007424,0.007424,0.75,0.198165,0.198165,0,FALSE
1.098612,0.952157,0.952157,0.549903,0.498086,0.201201,0.11147,0.75,0.482307,0.485714,0.003408,TRUE
0.693147,0.408971,0.408971,0.168878,0.12697,0.059693,0.059693,0.75,0.954653,0.954653,0,FALSE
0.693147,0.952157,0.952157,0.63343,0.476057,0.676471,0.676471,0.625,0.082307,0.082307,0,TRUE
0.693147,0.952157,0.952157,0.502324,0.44945,0.715909,0.715909,0.5625,0.930799,0.930799,0,FALSE
0.693147,0.208971,0.208971,0.087549,0.140511,0.011314,0.011314,0.75,0.931586,0.931586,0,FALSE
0.693147,0.952157,0.952157,0.483911,0.455816,0.411468,0.411468,0.5625,0.413761,0.413761,0,FALSE
0.693147,0.594784,0.594784,0.235104,0.319764,0.047988,0.047988,0.75,0.123984,0.123984,0,FALSE
1.098612,0.952157,0.952157,0.671429,0.544153,0.456687,0.341205,0.6875,0.340498,0.355963,0.015465,TRUE
0.693147,0.952157,0.952157,0.648767,0.520132,0.601634,0.601634,0.5625,0.629751,0.629751,0,TRUE
0.693147,0.952157,0.952157,0.532916,0.487169,0.409818,0.409818,0.625,0.287156,0.287156,0,TRUE
1.94591,0.952157,0.952157,0.458247,0.45062,0.332124,0.332124,0.5625,0.125557,0.364875,0.239318,FALSE
0.693147,0.952157,0.952157,0.669215,0.56986,0.866667,0.866667,?,0.987287,0.987287,0,TRUE
3.178054,0.952157,0.952157,0.70386,0.646046,0.8,0.683004,0.75,0.000393,0.956488,0.956094,TRUE
1.098612,0.952157,0.626977,0.555232,0.435111,0.2,0.104011,0.75,0.6,0.600786,0.000786,TRUE
0.693147,0.952157,0.952157,0.689484,0.525271,1,1,?,0.705505,0.705505,0,TRUE
0.693147,0.408971,0.408971,0.195465,0.238534,0.098999,0.098999,0.75,0.636435,0.636435,0,FALSE
1.098612,0.208971,0.208971,0,0.044603,0.005495,0.005495,0.75,0.219528,0.222412,0.002883,FALSE
0.693147,0.952157,0.952157,0.669721,0.521361,1,1,?,0.718873,0.718873,0,TRUE
0.693147,0.952157,0.952157,0.627365,0.513237,0.939394,0.939394,0.625,0.1346,0.1346,0,TRUE
0.693147,0.952157,0.952157,0.675522,0.525719,0.666667,0.666667,0.5625,0.586632,0.586632,0,TRUE
1.098612,0.952157,0.952157,0.667953,0.513727,0.647059,0.349845,?,0.557012,0.55806,0.001048,TRUE
0.693147,0.594784,0.594784,0.214204,0.171027,0.377982,0.377982,0.5625,0.193578,0.193578,0,FALSE
1.386294,0.408971,0.408971,0,0.042194,0.007008,0.007008,0.75,0.147182,0.698296,0.551114,FALSE
0.693147,0.952157,0.952157,0.542759,0.458504,0.387324,0.387324,0.5625,0.201442,0.201442,0,TRUE
0.693147,0.952157,0.952157,0.367408,0.327496,0.304954,0.304954,0.6875,0.925557,0.925557,0,TRUE
0.693147,0.408971,0.408971,0.076472,0.061874,0.012422,0.012422,0.75,0.961468,0.961468,0,FALSE
0.693147,0.408971,0.408971,0.03997,0.075749,0.012821,0.012821,0.75,0.231979,0.231979,0,FALSE
1.098612,0.952157,0.952157,0.611817,0.509158,0.494118,0.385587,0.625,0.793447,0.797641,0.004194,TRUE
0.693147,0.408971,0.408971,0.191274,0.275863,0.092981,0.092981,?,0.510616,0.510616,0,FALSE
0.693147,0.952157,0.952157,0.344288,0.336425,0.125,0.125,0.5625,0.58768,0.58768,0,FALSE
1.098612,0.952157,0.952157,0.340056,0.312049,0.246644,0.179269,0.75,0.231979,0.241547,0.009567,FALSE
0.693147,0.952157,0.952157,0.394846,0.369878,0.081731,0.081731,0.625,0.510616,0.510616,0,TRUE
0.693147,0.952157,0.952157,0.363463,0.364175,0.3,0.3,?,0.410616,0.410616,0,FALSE
1.098612,0.408971,0.408971,0,0.005676,0.031519,0.031519,?,0.599345,0.62844,0.029096,FALSE
0.693147,0.408971,0.408971,0.082865,0.073878,0.039517,0.039517,0.8125,0.110092,0.110092,0,FALSE
0.693147,0.956059,0.956059,0.325456,0.320065,0.023501,0.023501,0.75,0.315596,0.315596,0,FALSE
0.693147,0.952157,0.952157,0.3431,0.330206,0.033909,0.033909,0.6875,0.9173,0.9173,0,FALSE
1.609438,0.952157,0.952157,0.487814,0.422997,0.305928,0.305928,?,0.301704,0.406029,0.104325,FALSE
1.098612,0.952157,0.952157,0.434706,0.389897,0.262515,0.262515,?,0.711402,0.857798,0.146396,FALSE
0.693147,0.952157,0.952157,0.664766,0.53103,0.386667,0.386667,?,0.344299,0.344299,0,TRUE
1.098612,0.952157,0.952157,0.422537,0.440735,0.809524,0.451932,0.625,0.093971,0.095151,0.00118,FALSE
0.693147,0.110542,0.110542,0,0.00705,0.005574,0.005574,0.75,0.951638,0.951638,0,FALSE
0.693147,0.952157,0.952157,0.479875,0.413934,0.303719,0.303719,?,0.38401,0.38401,0,FALSE
0.693147,0.408971,0.408971,0,0.071563,0.012241,0.012241,0.875,0.0481,0.0481,0,FALSE
0.693147,0.408971,0.408971,0,0.054173,0.023077,0.023077,?,0.24325,0.24325,0,FALSE
0.693147,0.408971,0.408971,0.091252,0.115011,0.130942,0.130942,0.6875,0.04443,0.04443,0,FALSE
1.94591,0.952157,0.952157,0.6596,0.545834,0.093656,0.056889,?,0.172346,0.349279,0.176933,TRUE
0.693147,0.952157,0.952157,0.386271,0.332501,0.11549,0.11549,0.8125,0.470249,0.470249,0,FALSE
1.098612,0.952157,0.952157,0.558298,0.476299,0.304918,0.28775,0.625,0.463041,0.466317,0.003277,TRUE
0.693147,0.408971,0.408971,0.115631,0.127749,0.006182,0.006182,0.75,0.507602,0.507602,0,FALSE
0.693147,0.408971,0.408971,0.026785,0.092636,0.017367,0.017367,0.8125,0.257143,0.257143,0,FALSE
0.693147,0.296355,0.296355,0.244542,0.29841,0.185185,0.185185,0.625,0.199869,0.199869,0,FALSE
1.098612,0.408971,0.408971,0.05967,0.045928,0.166667,0.125,?,0.199869,0.199869,0,FALSE
0.693147,0.951811,0.951811,0.283095,0.357936,0.022133,0.022133,0.75,0.476016,0.476016,0,FALSE
0.693147,0.408971,0.408971,0.065765,0.06659,0.318182,0.318182,?,0.191874,0.191874,0,FALSE
0.693147,0.952157,0.952157,0.425804,0.358671,0.043733,0.043733,0.6875,0.589515,0.589515,0,FALSE
0.693147,0.104959,0.104959,0.483625,0.434499,0.037097,0.037097,?,0.463041,0.463041,0,FALSE
1.098612,0.408971,0.408971,0.135328,0.249593,0.015679,0.015679,0.625,0.475229,0.909305,0.434076,FALSE
0.693147,0.408971,0.408971,0.07222,0.069414,0.010283,0.010283,?,0.362779,0.362779,0,FALSE
0.693147,0.952157,0.952157,0.621582,0.504275,0.180851,0.180851,0.75,0.86422,0.86422,0,TRUE
0.693147,0.952157,0.952157,0.718126,0.596479,0.703704,0.703704,0.5625,0.333421,0.333421,0,TRUE
1.609438,0.408971,0.408971,0.173587,0.128995,0.016697,0.016697,0.8125,0.204456,0.274836,0.07038,FALSE
1.098612,0.952157,0.847293,0.687454,0.58546,0.625,0.328298,0.5625,0.590695,0.592267,0.001573,TRUE
1.609438,0.952157,0.758605,0.526315,0.506175,0.553571,0.408354,0.5625,0.066972,0.285583,0.218611,TRUE
1.098612,0.952157,0.952157,0.520401,0.443471,0.313699,0.313699,0.8125,0.860813,0.873132,0.01232,TRUE
1.098612,0.952157,0.952157,0.671936,0.563368,0.882353,0.455462,0.5625,0.257929,0.257929,0,TRUE
1.098612,0.959581,0.761436,0.272383,0.292627,0.616278,0.339181,0.6875,0.512713,0.512713,0,TRUE
1.098612,0.952157,0.952157,0.409672,0.359928,0.679346,0.375066,0.6875,0.489384,0.489908,0.000524,TRUE
0.693147,0.208971,0.208971,0.051213,0.086093,0.008737,0.008737,0.5625,0.482307,0.482307,0,FALSE
0.693147,0.408971,0.408971,0.051413,0.106156,0.018928,0.018928,0.8125,0.360157,0.360157,0,FALSE
0.693147,0.956059,0.956059,0.327437,0.339497,0.760518,0.760518,0.6875,0.772608,0.772608,0,TRUE
0.693147,0.951811,0.951811,0.293764,0.266789,0.181526,0.181526,0.8125,0.07903,0.07903,0,FALSE
0.693147,0.952157,0.952157,0.586392,0.523414,0.529981,0.529981,0.5625,0.097772,0.097772,0,TRUE
0.693147,0.952157,0.952157,0.422469,0.420506,0.108527,0.108527,0.75,0.696592,0.696592,0,FALSE
1.098612,0.952157,0.952157,0.574099,0.468055,0.0625,0.0625,0.75,0.211927,0.27156,0.059633,TRUE
0.693147,0.952157,0.952157,0.374464,0.380358,0.076997,0.076997,0.3125,0.093971,0.093971,0,FALSE
0.693147,0.867103,0.867103,0.265233,0.358479,0.066351,0.066351,0.5625,0.930799,0.930799,0,FALSE
0.693147,0.951811,0.951811,0.283653,0.282812,0.093548,0.093548,0.6875,0.761861,0.761861,0,FALSE
1.386294,0.952157,0.746952,0.690578,0.551872,0.755682,0.402115,0.6875,0.580734,0.596461,0.015727,TRUE
0.693147,0.951811,0.951811,0.296996,0.321667,0.084337,0.084337,0.6875,0.630931,0.630931,0,FALSE
2.564949,0.952157,0.952157,0.363799,0.34101,0.009348,0.009348,0.6875,0.005636,0.846265,0.840629,FALSE
1.386294,0.828463,0.828463,0.333927,0.312799,0.014655,0.014655,0.875,0.033028,0.979948,0.94692,FALSE
0.693147,0.959581,0.959581,0.274412,0.332422,0.26921,0.26921,?,0.278375,0.278375,0,FALSE
1.386294,0.594784,0.594784,0.213324,0.142055,0.032749,0.026315,0.75,0.111402,0.668938,0.557536,FALSE
