@relation LinkDisambiguator

@attribute commonness numeric
@attribute relatedness numeric
@attribute contextQuality numeric
@attribute isCorrectSense {TRUE,FALSE}

@data
0.952381,0.763518,14.201973,TRUE
0.047619,0.782943,14.201973,FALSE
0.9375,0.589019,14.201973,TRUE
0.041667,0,14.201973,FALSE
0.020833,0.065639,14.201973,FALSE
0.961538,0.625729,14.201973,TRUE
0.038462,0.655645,14.201973,FALSE
0.970149,0.592952,14.201973,TRUE
0.029851,0.104864,14.201973,FALSE
0.918033,0.557619,14.201973,TRUE
0.081967,0.186207,14.201973,FALSE
0.690909,0.615112,14.201973,TRUE
0.309091,0.502605,14.201973,FALSE
0.69378,0.022748,14.201973,FALSE
0.229665,0.652166,14.201973,TRUE
0.068581,0.028389,14.201973,FALSE
0.98,0.256358,14.201973,TRUE
0.02,0.071012,14.201973,FALSE
0.940299,0.703275,14.201973,TRUE
0.059701,0.660483,14.201973,FALSE
0.954545,0.611281,14.201973,TRUE
0.045455,0.60976,14.201973,FALSE
0.884058,0.66924,10.677087,TRUE
0.096618,0.579816,10.677087,FALSE
0.019324,0.107716,10.677087,FALSE
0.95753,0.29993,10.677087,TRUE
0.024704,0.296056,10.677087,FALSE
0.733333,0.534962,10.677087,TRUE
0.133333,0,10.677087,FALSE
0.133333,0,10.677087,FALSE
0.977528,0.522585,10.677087,TRUE
0.011236,0,10.677087,FALSE
0.987654,0.567137,10.677087,TRUE
0.012346,0.099265,10.677087,FALSE
0.977876,0.574087,10.677087,TRUE
0.017699,0,10.677087,FALSE
0.891332,0.372262,10.677087,TRUE
0.060802,0.159686,10.677087,FALSE
0.012937,0,10.677087,FALSE
0.011643,0.064118,10.677087,FALSE
0.923077,0.449309,10.677087,TRUE
0.038462,0.183617,10.677087,FALSE
0.038462,0.064531,10.677087,FALSE
0.906948,0.341992,10.677087,TRUE
0.048801,0.146841,10.677087,FALSE
0.023573,0.088759,10.677087,FALSE
0.972028,0.587185,10.677087,TRUE
0.027972,0.019763,10.677087,FALSE
0.92196,0.3741,10.677087,TRUE
0.043557,0,10.677087,FALSE
0.010889,0.021639,10.677087,FALSE
0.906948,0.341992,10.677087,TRUE
0.048801,0.146841,10.677087,FALSE
0.023573,0.088759,10.677087,FALSE
0.891332,0.372262,10.677087,TRUE
0.060802,0.159686,10.677087,FALSE
0.012937,0,10.677087,FALSE
0.011643,0.064118,10.677087,FALSE
0.923077,0.449309,10.677087,TRUE
0.038462,0.183617,10.677087,FALSE
0.038462,0.064531,10.677087,FALSE
0.808824,0.379238,10.677087,TRUE
0.073529,0.151004,10.677087,FALSE
0.064706,0.127812,10.677087,FALSE
0.010294,0,10.677087,FALSE
0.966216,0.379373,10.677087,TRUE
0.02027,0.086638,10.677087,FALSE
0.969018,0.355231,10.677087,TRUE
0.017139,0,10.677087,FALSE
0.807692,0.662129,10.677087,TRUE
0.192308,0.194734,10.677087,FALSE
0.84561,0.273436,10.677087,TRUE
0.098399,0.226639,10.677087,FALSE
0.032689,0.13686,10.677087,FALSE
0.93039,0.310878,10.677087,TRUE
0.018676,0.081201,10.677087,FALSE
0.016978,0,10.677087,FALSE
0.01528,0.022285,10.677087,FALSE
